"Data Source","World Development Indicators",

"Last Updated Date","2021-11-23",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"United Kingdom","GBR","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","48.29","49.93","53.15","53.21","55.68","57.62","61.4","60.52","57.93","55.61","53.15","52.35","51.77","53.37","53.42","53.38","53.03","53.57","53.08","54","52.74","53.36","52.71","52.53","51.25","50.74","47.91","46.08","45.34","46.04","46.16","47.79","49.66","51.08","50.76","49.89","50.55","",
"Georgia","GEO","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.42","15.64","16.27","17.6","16.41","18.86","18.79","18.38","25.65","20.98","19.69","16.43",
"Ghana","GHA","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57.2400016784668","","","","","","","","","45.41","","","","","","37.7","","","","40.01","","","49.57","","34.94","","29.72","","","",
"Gibraltar","GIB","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guinea","GIN","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49.43","","","","","","","","","","","","","","","","","24.66","",
"Gambia, The","GMB","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.83","","","","","","9.45","","",
"Guinea-Bissau","GNB","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Equatorial Guinea","GNQ","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Greece","GRC","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","25.32","23.61","23.14","21.93","21.71","22.09","23.23","23.76","22.61","21.84","21.12","20.56","20.26","20.04","19.36","22.14","22.1","22.09","21.64","21.71","20.48","22.25","20.03","18.81","18.79","18.7","18.29","16.15","12.88","9.99","9.13","10.93","10.94","11.27","12.4","12.04","13.2","11.72",
"Grenada","GRD","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Greenland","GRL","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guatemala","GTM","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42.86","32.04","","","","","","31.13","30.64","37.17","30.59","30.12","28.29","31.03","28.67","31.03","30.49","",
"Guam","GUM","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.1","","36.2","43.6","42.4","35.8","","29.3","","31.8","","","","","","","","","",
"Guyana","GUY","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.21","","",
"High income","HIC","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","44.8226681542476","45.9102670884404","46.2507218768414","45.6782155328842","46.2821264463779","46.58771780235","47.2194750959613","46.5683968713256","46.0031960300515","43.1193815805963","42.995799212284","42.5825886674164","42.4001311944503","41.7358197239759","41.7457269132483","42.1042727540976","41.3760482749782","42.0055240832908","41.756108475403","41.0807453308155","41.4465723558696","41.3278437512896","41.6674253468975","40.6321806459099","40.7223194832789","40.2816040426749","38.2504642988917","38.178528270521","36.9158545144847","36.7578595749819","37.0933140508413","37.6540483111784","38.3826104338586","40.2099334076943","41.0741991156824","40.5556300674977","42.4743350911584","38.3724421373168",
"Hong Kong SAR, China","HKG","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.2","32.94","34.19","34.7","36.87","36.08","37.45","38.34","38.23","37.97","38.16","32.08",
"Honduras","HND","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.81","26.58","26.59","26.85","26.58","27.15","26.07","24.45","28.24","28.73","30.48","29.39","31.4","33.83","28.76","31.3999996185303",
"Heavily indebted poor countries (HIPC)","HPC","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Croatia","HRV","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.76","20.67","21.74","21.34","21.77","22.26","21.42","21.73","20.42","17.2","14.7","12.37","15.31","15.75","22.19","21.8","20.35","21.88","18.99",
"Haiti","HTI","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.31","","","","","","","","","24.33","","","","","","","","",
"Hungary","HUN","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.72","30.26","29.45","26.97","23.95","24.71","29.86","31.16","29.17","26.36","25.55","23.4","20.29","19.24","18.58","17.7","17.07","16.21","16.55","16.17","17.04","17.03","20.45","23.1","24.61","24.8","24.31","24.01","23.12",
"IBRD only","IBD","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"IDA & IBRD total","IBT","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"IDA total","IDA","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"IDA blend","IDB","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.9192809655548","","18.5326900634568","","","","","","","",
"Indonesia","IDN","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.89","38.43","38.54","37.27","37.5","","35.84","34.38","33.22","33.01","34.43","32.28","30.64","30.17","29.3","26.84","28.5","30.02","30.57","30.52","30.74","30.06","32.13","31.25","30.4","30.61","31.01","32.15","31.9200000762939","34.6699981689453","33.29",
"IDA only","IDX","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Isle of Man","IMN","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50.23","","","","",
"India","IND","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.45","","","","","","22.42","","","","","21.82","","","","","15.75","","12.94","","","","","","7.63","7.7","10.2700004577637",
"Not classified","INX","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ireland","IRL","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","44.8","43.63","40.62","40.24","38.88","36.81","37.76","37.34","35.2","33.53","33.86","34.45","34.26","33.3","35.64","39.71","42.83","43.51","42.23","41.62","42.33","41.36","45.9","46.47","59.13","55.63","47.75","40.89","38.16","37.14","37.15","36.74","37.31","41.74","39.75","39.35","41.04","36.51",
"Iran, Islamic Rep.","IRN","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.1599998474121","10.5100002288818","9.85999965667725","7.96999979019165","8.42000007629395","7.17999982833862","5.98000001907349","6.71999979019165","5.59999990463257","4.82999992370605","5.48999977111816","6.11999988555908","6.9","7.18","6.78","5.1100001335144",
"Iraq","IRQ","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.57","","","","","4.02","","3.5","","5.4","1.8","","","",
"Iceland","ISL","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56.51","53.63","53.92","53.11","61.64","58.53","62.21","68.51","71.03","77.42","75.99","68.27","66.97","70.08","73.31","74.16","74.56","73.53","66.45","65.33","66.61","68.4","75.16","73.57","76.47","78.17","76.56","76.42","76.12","68.64",
"Israel","ISR","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.75","34.33","35.72","38.91","43.59","45.07","45.81","44.13","41.91","43","44.85","43.8","39.72","39.81","40.78","43.4","43.13","43.41","44.14","43.92","43.78","42.46","42.42","43.05","43.14","43.31","43.62","44.26","43.88","43.43","39.6800003051758",
"Italy","ITA","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","28.09","26.6","25.68","26.19","26.01","26.96","27.63","27.82","27.67","25.26","23.56","21.9","20.77","20.52","20.13","20.39","20.84","21.98","22.21","21.15","20.83","22.71","20.81","20.03","19.5","19.23","16.92","16.32","15.48","14.98","13.7","12.78","12.44","13.74","13.87","14.28","15.15","12.81",
"Jamaica","JAM","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.02","15.71","15.91","17.18","20.73","21.89","21.86","23.5200004577637","",
"Jordan","JOR","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","5.2","5.2","5","5.4","4.4","5.1","5.8","5.5","","","5","4.6","","","","","6.25","4.69","4.79","",
"Japan","JPN","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","52.36","51.88","52.43","51.86","49.58","49.03","45.92","44.44","42.8","43.02","43.11","42.77","42.48","42.19","41.56","42.45","42.02","41.15","41.45","40.87","41.14","42.12","42.95","43.86","44.56","44.21","44.63","44.42","44.52","44.55","44.33","42.98","43.060001373291","42.439998626709","41.2200012207031","40.5299987792969","40.7900009155273","41.6800003051758","42.0699996948242","41.4099998474121","41.7900009155273","41.1699981689453","40.3400001525879","40.4900016784668","38.8499984741211","40.64","41.01","40.91","42.93","42.93","46.8","48.4","47.2",
"Kazakhstan","KAZ","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Kenya","KEN","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.78","","","","","","","27.86","","","","","","","","","","40.21","","","30.25","",
"Kyrgyz Republic","KGZ","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.51","29.03","26.59","29.82","28.22","26.82","24.05","21.2","21.17","","",
"Cambodia","KHM","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57.11","","68.41","77.33","","","","","","73.88","70.1699981689453","74.21","77.47","78.17","60.74","68.07","68.76","68.83","68.68","68.45","","54.3199996948242","",
"Kiribati","KIR","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.71","","","","","18.78","","","","","16.12","","","","12.48","",
"St. Kitts and Nevis","KNA","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","42.96","","","","","","","","","","","47.92","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Korea, Rep.","KOR","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","39.89","38.36","38.78","38.56","35.4","35.19","36.37","37.34","36.88","37.51","38.51","40","39.56","39.14","39.29","39.62","38.63","37.17","31.54","31.67","32.24","33.91","34.88","34.36","34.59","33.6","30.97","28.49","26.64","25","25.7","25.81","26.55","26.3","27.67","28.7","28.77","28.53","28.43","27.75","26.47",
"Kuwait","KWT","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.77","11.6","","","","",
"Latin America & Caribbean (excluding high income)","LAC","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.8964983777654","38.1073535796792","36.1158123158708","36.1928661035432","36.6435851996395","37.1254173171806","37.9925801779666","37.0764470406906","35.8505121860501","","35.2052593129662","34.7742225735375","34.1092462778743","33.4773598524827","33.240763125676","32.3922497354781","31.7204137123551","32.1647199547845","32.3822006787242","27.1488968893331",
"Lao PDR","LAO","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65.88","","","","","","","23.11","","","",
"Lebanon","LBN","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.17","","","","","","","","","","","","22.59","",
"Liberia","LBR","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.92","","","","51.38","","53.58","","","","",
"Libya","LBY","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.45","","","","","","","","",
"St. Lucia","LCA","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.5","29.4","31.4","31","","","","","","","","","","33.16","35.98","35.56","",
"Latin America & Caribbean","LCN","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.2550914340536","37.3376219203496","35.504113359527","35.6443734521645","35.5912393670862","36.0273510843236","36.7264298012839","36.0343399006405","34.8912334099394","","34.1777582288918","33.8022985643873","33.8461679298272","33.2269817040794","32.9610508726996","31.4611056004149","31.2183522859401","31.9231109851962","32.1107305186607","26.816196692367",
"Least developed countries: UN classification","LDC","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Low income","LIC","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Liechtenstein","LIE","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50.22","48.65","47.72","47.4","47.36","45.68","46.02","46.41","47.21","46.45","43.85","47.43","46.41","45.11","44.81","44.95","","","","","",
"Sri Lanka","LKA","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.87","17.55","17.28","17.89","16.72","18.27","16.52","18.24","14.5","","",
"Lower middle income","LMC","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.5157161481748","","19.745284426067","","","","","","14.9177122005398","16.1870068785844","",
"Low & middle income","LMY","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Lesotho","LSO","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.7","","","","","21.95","","","","","","14.02","",
"Late-demographic dividend","LTE","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Lithuania","LTU","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.21","29.7","23.78","21.04","21.53","19.36","16.17","17.41","21.01","20.01","21.78","20.07","17.4","17.01","20.14","21.52","24.05","25.66","27.83","28.42","30.65","32.35","28.28",
"Luxembourg","LUX","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","53.1","52.31","54.28","52.61","50.56","48.91","48.56","41.83","48.71","48.79","43.56","41.77","36.84","35.32","32.07","30.99","29.51","28.33","30.32","28.38","26.06","20.46","21.35","21.22","18.42","20.59","24.23","20.34","18.51","20.06","19.41","18.81","28.78","25.44","24.54","28.43","26.33","24.35",
"Latvia","LVA","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.41","27.99","24.93","23.64","25.27","23.74","21.2","26.08","28.54","32.23","31.73","25.39","24.26","23.35","25.43","27.02","28.25","31.87","31.58","30.91","30.63","29.5","26.65",
"Macao SAR, China","MAC","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62.27","58.06","","44.28","","","33.33","33.5","35.53","36.7","41.73","43.65","51.61","50.78","50.63","47.52","50.13","48.43","47.32","44.52","","","","",
"St. Martin (French part)","MAF","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Morocco","MAR","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.1","22.25","20.6","18.48","15.94","15.18","13.97","13.92","14.69","13.72","12.14","","","","",
"Monaco","MCO","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Moldova","MDA","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.2700004577637","26.4300003051758","25.8799991607666","18.5599994659424","17.2600002288818","16.75","16.6499996185303","","","16.22","16.62","17.08","15.59","15.52","15.54","16.26","16.06","15.5","15.73","16.5","13.48",
"Madagascar","MDG","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89.06","","","70.74","","","","","",
"Maldives","MDV","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.96","","","","","37.73","","36.6","","","39.5999984741211","",
"Middle East & North Africa","MEA","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.0199820756663","9.34103574024765","8.99026885111634","","7.99110930482256","","7.43482745436441","9.90121463363726","9.73172202016875","9.06781885932871","","","",
"Mexico","MEX","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.54","33.08","33.64","32.84","31.57","31.55","32.86","34.16","34.23","34.04","32.31","29.98","29.41","28.73","31.51","32.15","32.21","31.16","29.63","29.79","29.68","30.29","29.5","28.55","28.4","28.45","28.29","28.52","29.76","26.1800003051758",
"Marshall Islands","MHL","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.12","",
"Middle income","MIC","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"North Macedonia","MKD","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.43","11.47","11.97","10.64","11.22","10.8","12.65","13.26","11.31","14.25","11.78","12.01","12.77","15.78","13.61",
"Mali","MLI","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.24","","","58.31","49.15","44.73","38.17","42.01","39.29","","",
"Malta","MLT","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52.75","51.71","49.95","45.99","41.46","43.11","42.01","44.5","45","42.25","42.41","41.79","41.83","45.04","47.33","44.56","43.34","46.06","52.49","50.63","47.95",
"Myanmar","MMR","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51.89","","41.77","41.56","39.08","",
"Middle East & North Africa (excluding high income)","MNA","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.82594621635652","9.11126772341368","8.16439180975339","","7.46511880167664","","6.88453295753046","9.41001319941246","8.75311949352575","7.58059738858479","","","",
"Montenegro","MNE","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.3","21","","10.74","10.1599998474121","12.8599996566772","12.1800003051758","15.79","17.68","19.31","18.59","20.61","23.53","14.9799995422363",
"Mongolia","MNG","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.1","","","","28.3","26.54","25.72","23.31","24.48","30.37","23.37","22.01","21.05","17.08","16.81","18.06","18.38","19.55",
"Northern Mariana Islands","MNP","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
